Term,Coefficient,Odds_Ratio,CI_95_low,CI_95_high,p_value,p_value_BH,Reject_at_0_05_BH
"C(FAAREGION, Treatment(reference=""ASO""))[T.ACE]",0.1895345903060017,1.2086869321171931,1.1043527994336664,1.3228780699610325,3.872014336507551e-05,6.29202329682477e-05,True
"C(FAAREGION, Treatment(reference=""ASO""))[T.AEA]",0.11038486278639195,1.1167077670292622,1.0540668450585193,1.1830713040540122,0.00017847087380936462,0.00026770631071404693,True
"C(FAAREGION, Treatment(reference=""ASO""))[T.AGL]",0.047092698267665246,1.0482191726775782,0.9863295316583437,1.1139922294747522,0.12935294132790567,0.14413613462252345,False
"C(FAAREGION, Treatment(reference=""ASO""))[T.ANE]",-0.1482816186010146,0.8621882724940642,0.7800656822907376,0.9529564421335978,0.0036902588660236535,0.0046425837346749195,True
"C(FAAREGION, Treatment(reference=""ASO""))[T.ANM]",0.2947590804762424,1.3428028122994815,1.252344223918664,1.4397953520137794,1.1946153804521684e-16,2.5883333243130313e-16,True
"C(FAAREGION, Treatment(reference=""ASO""))[T.ASW]",0.12441800860230526,1.1324891622842217,1.0608451401467032,1.2089716530292611,0.00019041940891488594,0.00027505025732150193,True
"C(FAAREGION, Treatment(reference=""ASO""))[T.AWP]",0.13769603083204263,1.147626654130848,1.0789234371019265,1.2207047247108258,1.2324491819826346e-05,2.0898051346662066e-05,True
"C(FAAREGION, Treatment(reference=""ASO""))[T.FGN]",0.1834900335873655,1.2014029916740694,1.0751940932661075,1.342426597619128,0.0011941633898734881,0.0015524124068355344,True
"C(FAAREGION, Treatment(reference=""ASO""))[T.Not reported]",1.5640448566401248,4.778108976607781,4.0932968129754626,5.577490818640205,2.1520724803067427e-87,9.32564741466255e-87,True
YEAR_CENTERED,-0.016727260220856265,0.9834118635961965,0.9815676808796198,0.9852595111883578,2.594789026606446e-68,9.1997065488774e-68,True
